,Order,Mesh Size,Error,Alpha,Bonus Int
0,1.0,1.0,0.033586855587328615,0.0,0.0
1,1.0,1.0,0.016864528040081022,0.0,1.0
2,1.0,1.0,0.21062114585729813,0.0,2.0
3,1.0,1.0,0.2106334527590334,0.0,3.0
4,1.0,1.0,0.0260576068162844,0.0,4.0
5,1.0,1.0,0.03864976774022229,0.0,5.0
6,1.0,1.0,0.02490496305994896,0.0,6.0
7,1.0,1.0,0.024971988334247415,0.0,7.0
8,1.0,1.0,0.023775928065467716,0.0,8.0
9,1.0,1.0,0.023732232976472634,0.0,9.0
10,1.0,1.0,0.021942241076066942,0.0,10.0
11,1.0,1.0,0.021935529274550156,0.0,11.0
12,1.0,1.0,0.0196298213438412,0.0,12.0
13,1.0,1.0,0.01965770597151621,0.0,13.0
14,1.0,1.0,0.01742284652711548,0.0,14.0
15,1.0,1.0,0.017481442566233345,0.0,15.0
16,1.0,1.0,0.015741502616800133,0.0,16.0
17,1.0,1.0,0.01582557898782347,0.0,17.0
18,1.0,1.0,0.014688027233542258,0.0,18.0
19,1.0,1.0,0.014789465042925772,0.0,19.0
20,1.0,1.0,0.0395091801329815,1.0,0.0
21,1.0,1.0,0.01725974179720642,1.0,1.0
22,1.0,1.0,1.0037662026334309,1.0,2.0
23,1.0,1.0,0.9991315951709323,1.0,3.0
24,1.0,1.0,0.029701131397260026,1.0,4.0
25,1.0,1.0,0.042509855624736526,1.0,5.0
26,1.0,1.0,0.028674467570179572,1.0,6.0
27,1.0,1.0,0.028759297006923003,1.0,7.0
28,1.0,1.0,0.027501125628522752,1.0,8.0
29,1.0,1.0,0.027462775258214757,1.0,9.0
30,1.0,1.0,0.025512440774081616,1.0,10.0
31,1.0,1.0,0.02550908499371981,1.0,11.0
32,1.0,1.0,0.022922060571575014,1.0,12.0
33,1.0,1.0,0.022954877688615583,1.0,13.0
34,1.0,1.0,0.020360625791987903,1.0,14.0
35,1.0,1.0,0.02042859712336136,1.0,15.0
36,1.0,1.0,0.018379117738253372,1.0,16.0
37,1.0,1.0,0.018478895757202,1.0,17.0
38,1.0,1.0,0.017200590401366792,1.0,18.0
39,1.0,1.0,0.017323528560229545,1.0,19.0
40,1.0,1.0,0.04844914198554656,2.0,0.0
41,1.0,1.0,0.01973211301399409,2.0,1.0
42,1.0,1.0,0.17100343085413833,2.0,2.0
43,1.0,1.0,3.0613143366084254,2.0,3.0
44,1.0,1.0,0.036366151784405824,2.0,4.0
45,1.0,1.0,0.04860329134484714,2.0,5.0
46,1.0,1.0,0.0355771304332594,2.0,6.0
47,1.0,1.0,0.03567157543373122,2.0,7.0
48,1.0,1.0,0.03438566239460427,2.0,8.0
49,1.0,1.0,0.034354840982006994,2.0,9.0
50,1.0,1.0,0.032134550103506326,2.0,10.0
51,1.0,1.0,0.03213451483101012,2.0,11.0
52,1.0,1.0,0.02897240423942866,2.0,12.0
53,1.0,1.0,0.02900899502829633,2.0,13.0
54,1.0,1.0,0.02558867194330065,2.0,14.0
55,1.0,1.0,0.025666827954346633,2.0,15.0
56,1.0,1.0,0.022849417485864932,2.0,16.0
57,1.0,1.0,0.02297212623963489,2.0,17.0
58,1.0,1.0,0.021414110051063927,2.0,18.0
59,1.0,1.0,0.021574183497014097,2.0,19.0
60,1.0,1.0,0.06278217229475494,3.0,0.0
61,1.0,1.0,0.024998936770494317,3.0,1.0
62,1.0,1.0,0.12405415002393598,3.0,2.0
63,1.0,1.0,90784.92521704962,3.0,3.0
64,1.0,1.0,0.051985885477308445,3.0,4.0
65,1.0,1.0,0.06199709319870998,3.0,5.0
66,1.0,1.0,0.05199862079840991,3.0,6.0
67,1.0,1.0,0.052082693936842506,3.0,7.0
68,1.0,1.0,0.05094614346065942,3.0,8.0
69,1.0,1.0,0.050926594590000804,3.0,9.0
70,1.0,1.0,0.04815411862889346,3.0,10.0
71,1.0,1.0,0.04815646703835425,3.0,11.0
72,1.0,1.0,0.043447046385763084,3.0,12.0
73,1.0,1.0,0.04348180830520639,3.0,13.0
74,1.0,1.0,0.0373416073310256,3.0,14.0
75,1.0,1.0,0.03742590795353859,3.0,15.0
76,1.0,1.0,0.0315374568602154,3.0,16.0
77,1.0,1.0,0.03169958568977307,3.0,17.0
78,1.0,1.0,0.029614589971666088,3.0,18.0
79,1.0,1.0,0.029864287799625584,3.0,19.0
80,1.0,1.0,0.08878565569713356,4.0,0.0
81,1.0,1.0,0.03660410643307338,4.0,1.0
82,1.0,1.0,0.06339998871101875,4.0,2.0
83,1.0,1.0,0.18371949795197876,4.0,3.0
84,1.0,1.0,0.11987736703192349,4.0,4.0
85,1.0,1.0,0.12414877105567881,4.0,5.0
86,1.0,1.0,0.12738563885819146,4.0,6.0
87,1.0,1.0,0.12741740900468343,4.0,7.0
88,1.0,1.0,0.13071750185504494,4.0,8.0
89,1.0,1.0,0.1307138754211915,4.0,9.0
90,1.0,1.0,0.12974693443044003,4.0,10.0
91,1.0,1.0,0.12974726524878813,4.0,11.0
92,1.0,1.0,0.12261774034063888,4.0,12.0
93,1.0,1.0,0.12262644118609177,4.0,13.0
94,1.0,1.0,0.1033919142080141,4.0,14.0
95,1.0,1.0,0.1034254029572148,4.0,15.0
96,1.0,1.0,0.05539936727171115,4.0,16.0
97,1.0,1.0,0.05563976265822405,4.0,17.0
98,1.0,1.0,0.5187143196435791,4.0,18.0
99,1.0,1.0,0.5192997023285184,4.0,19.0
100,1.0,1.0,226762532774141.53,5.0,0.0
101,1.0,1.0,0.07451389515178,5.0,1.0
102,1.0,1.0,0.3662280088342666,5.0,2.0
103,1.0,1.0,0.36653547453610336,5.0,3.0
104,1.0,1.0,0.2373496691941079,5.0,4.0
