,Order,Mesh Size,Error,Alpha,Bonus Int
0,1.0,1.0,0.005961752001862758,0.0,0.0
1,1.0,1.0,0.006485285571248208,0.0,1.0
2,1.0,1.0,0.0017002226344043853,0.0,2.0
3,1.0,1.0,0.0017032850436762147,0.0,3.0
4,1.0,1.0,0.00221052489232003,0.0,4.0
5,1.0,1.0,0.002308587577378805,0.0,5.0
6,1.0,1.0,0.002065217926900285,0.0,6.0
7,1.0,1.0,0.002064202345106721,0.0,7.0
8,1.0,1.0,0.0019558436857648903,0.0,8.0
9,1.0,1.0,0.0019556729332468607,0.0,9.0
10,1.0,1.0,0.0018738012282572207,0.0,10.0
11,1.0,1.0,0.001875035561986825,0.0,11.0
12,1.0,1.0,0.0018130629359367153,0.0,12.0
13,1.0,1.0,0.0018153127460946478,0.0,13.0
14,1.0,1.0,0.0017700310363418298,0.0,14.0
15,1.0,1.0,0.0017725770567960603,0.0,15.0
16,1.0,1.0,0.0017409944645227116,0.0,16.0
17,1.0,1.0,0.001743297618299348,0.0,17.0
18,1.0,1.0,0.0017223814901709805,0.0,18.0
19,1.0,1.0,0.0017242722073091356,0.0,19.0
20,1.0,1.0,0.03928586697783297,1.0,0.0
21,1.0,1.0,0.014765549219959286,1.0,1.0
22,1.0,1.0,0.001581949184250783,1.0,2.0
23,1.0,1.0,0.0015849328869196489,1.0,3.0
24,1.0,1.0,0.002090377337267012,1.0,4.0
25,1.0,1.0,0.002196129382407464,1.0,5.0
26,1.0,1.0,0.0019436400632651372,1.0,6.0
27,1.0,1.0,0.0019421486187896752,1.0,7.0
28,1.0,1.0,0.0018348034383626221,1.0,8.0
29,1.0,1.0,0.0018342439954969379,1.0,9.0
30,1.0,1.0,0.001754075152036075,1.0,10.0
31,1.0,1.0,0.001755037871983684,1.0,11.0
32,1.0,1.0,0.0016951765457958723,1.0,12.0
33,1.0,1.0,0.0016972773550146892,1.0,13.0
34,1.0,1.0,0.0016540848448701616,1.0,14.0
35,1.0,1.0,0.0016565651097635986,1.0,15.0
36,1.0,1.0,0.0016266933653506332,1.0,16.0
37,1.0,1.0,0.001628969177258309,1.0,17.0
38,1.0,1.0,0.0016092665063066486,1.0,18.0
39,1.0,1.0,0.001611147409377639,1.0,19.0
40,1.0,1.0,0.05324570943089961,2.0,0.0
41,1.0,1.0,0.01854498396026323,2.0,1.0
42,1.0,1.0,0.0014823872800962938,2.0,2.0
43,1.0,1.0,0.0014847481590271234,2.0,3.0
