,alpha,type,mesh_size,order
0,4.000000000000001,ehdg,0.25,1
1,6.382682588555582,ehdg,0.25,1
2,6.634106640527861,ehdg,0.25,1
3,19.338914651185405,ehdg,0.25,1
4,3.737520466767514,ehdg,0.25,1
5,7.445366397451208,ehdg,0.25,1
6,3.731395646874586,ehdg,0.25,1
7,3.5075047016400696,ehdg,0.25,1
8,3.6458083826645447,ehdg,0.25,1
9,3.4364479626996105,ehdg,0.25,1
10,3.3572747307691397,ehdg,0.25,1
11,4.000000000000001,ehdg,0.25,1
12,3.2413305452743337,ehdg,0.25,1
13,9.058413673759151,ehdg,0.25,1
14,23.32507812230734,ehdg,0.25,1
15,3.4161319694520875,ehdg,0.25,1
16,9.113378119751161,ehdg,0.25,1
17,3.5413183002116293,ehdg,0.25,1
18,8.25126999125628,ehdg,0.25,1
19,6.9928149355533336,ehdg,0.25,1
20,8.61414838352932,ehdg,0.25,1
21,6.39644854751894,ehdg,0.25,1
22,7.740504881583965,ehdg,0.25,1
23,3.773677300743882,ehdg,0.25,1
24,3.952524022464503,ehdg,0.25,1
25,9.445231489014732,ehdg,0.25,1
26,8.161988487355236,ehdg,0.25,1
27,38.71885027641416,ehdg,0.25,1
28,8.360412272999257,ehdg,0.25,1
29,9.360942440694393,ehdg,0.25,1
30,7.531077465231904,ehdg,0.25,1
31,8.430532923389746,ehdg,0.25,1
32,7.988482103642832,ehdg,0.25,1
33,7.22766968112454,ehdg,0.25,1
34,8.445463584572302,ehdg,0.25,1
35,13.704652026416973,ehdg,0.25,1
36,4.000000000000001,ehdg,0.125,1
37,3.3172348224937,ehdg,0.125,1
38,3.190365597097009,ehdg,0.125,1
39,3.174869508894939,ehdg,0.125,1
40,7.126692531191647,ehdg,0.125,1
41,6.991682902082131,ehdg,0.125,1
42,7.154280189394899,ehdg,0.125,1
43,24.827390500474074,ehdg,0.125,1
44,3.227865052976004,ehdg,0.125,1
45,6.931029340122835,ehdg,0.125,1
46,3.340413662180629,ehdg,0.125,1
47,3.2998040269864015,ehdg,0.125,1
48,3.5881821403257863,ehdg,0.125,1
49,3.393250858907541,ehdg,0.125,1
50,3.638439735128281,ehdg,0.125,1
51,3.447362907025485,ehdg,0.125,1
52,3.407215884310421,ehdg,0.125,1
53,3.374471775456486,ehdg,0.125,1
54,3.3988771086963574,ehdg,0.125,1
55,3.2205323680401157,ehdg,0.125,1
56,3.4119264624816257,ehdg,0.125,1
57,3.186530699154259,ehdg,0.125,1
58,3.293305418155451,ehdg,0.125,1
59,3.2287450429271773,ehdg,0.125,1
60,3.217223924072706,ehdg,0.125,1
61,3.283093949426565,ehdg,0.125,1
62,3.183013086393928,ehdg,0.125,1
63,4.000000000000001,ehdg,0.125,1
64,3.1914366133546244,ehdg,0.125,1
65,3.140393308682428,ehdg,0.125,1
66,3.4046899098342216,ehdg,0.125,1
67,3.2035811644722414,ehdg,0.125,1
68,3.195332151034303,ehdg,0.125,1
69,3.1461070228171315,ehdg,0.125,1
70,3.259536077681663,ehdg,0.125,1
71,3.1894726120804444,ehdg,0.125,1
72,3.293217515461597,ehdg,0.125,1
73,3.352193485070957,ehdg,0.125,1
74,3.433731025439732,ehdg,0.125,1
75,3.5343967539829277,ehdg,0.125,1
76,3.413410235853386,ehdg,0.125,1
77,3.570792077135769,ehdg,0.125,1
78,3.4312679080916215,ehdg,0.125,1
79,3.414815800327029,ehdg,0.125,1
80,3.3046619187426187,ehdg,0.125,1
81,3.468450464979947,ehdg,0.125,1
82,7.677687288028313,ehdg,0.125,1
83,6.690326526681037,ehdg,0.125,1
84,6.4838180926019895,ehdg,0.125,1
85,20.58849676825204,ehdg,0.125,1
86,3.7389904640843,ehdg,0.125,1
87,6.689566571817876,ehdg,0.125,1
88,4.262534214415677,ehdg,0.125,1
