,A
0,47.17606520184128
1,47.04133209717641
2,47.17606520184128
3,47.04133209717641
4,48.531706696275336
5,46.54267681477083
6,48.37043238412828
7,46.45059621398235
8,48.53170669640701
9,48.37043238399916
10,46.45059621398451
11,46.542676814773344
12,47.13952588958182
13,47.140465268764615
14,47.073425635660264
15,47.072769501983124
16,46.4505961595085
17,46.45059621398237
18,47.13952588958182
19,47.1404652687645
20,47.07342563566018
21,47.072769501983124
22,46.45059615950847
23,46.45059621398241
24,47.13952588958178
25,47.14046526876455
26,47.07342563566052
27,47.07276950198312
28,48.37043238779071
29,48.531706711264164
30,48.00075720517809
31,47.525199616294216
32,46.87262927966296
33,46.72478199431114
34,47.927451892588934
35,47.461193217125384
36,46.839628344889384
37,46.61706691960656
38,47.01886730598566
39,47.17611246051143
40,47.05202126246196
41,47.16753783892245
42,47.03644860809368
43,47.08094291240976
44,47.12802689601015
45,46.95947251559958
46,47.556106212895976
47,46.76421510605
48,46.794797380196144
49,46.97025505374591
50,46.963008437232716
51,47.08422787641515
52,46.90097755972164
53,47.083529478698004
54,46.952125798693565
55,46.74389959291667
56,46.71861126082757
57,46.90205608923357
58,46.37115857536887
59,46.75626789028429
60,46.9479414221631
61,46.30178759378858
62,46.866167784257016
63,46.38675892319585
64,47.12802689601018
65,46.8237387560247
66,47.38290669637562
67,46.92552847597129
68,46.882368824213586
69,47.032310811624704
70,47.083509091728175
71,47.08422787641524
72,47.10741016208658
73,46.869878532866665
74,46.63459106278037
75,46.731754040104995
76,46.71087383512578
77,47.27096811987427
78,47.48450689883564
79,46.93396536365263
80,46.39833196110196
81,47.25565310681195
82,46.95475947369655
83,46.604546754417825
84,47.128026896010276
85,47.299502276073405
86,47.18090316895625
87,47.101539353045496
88,47.01496633656643
89,46.95103331009037
90,47.02758589801097
91,47.08422787641544
92,47.67386664243999
93,47.321615364968864
94,46.99393511976025
95,46.91381625881108
96,47.36789141723226
97,46.75718759579106
98,47.15218809388077
99,47.10027390506338
100,46.48118456532125
101,47.20530107861741
102,46.92794028507197
103,47.031356276986614
104,47.23915653539005
105,48.43358188675144
106,47.091862127137546
107,46.91293931117932
108,47.122334504807306
109,47.04988576621771
110,47.09670773939931
111,46.96167261011195
112,47.12319449608783
113,47.213771425065154
114,47.16729905828451
115,47.15709796631713
116,47.089681964233
117,47.02269035018195
118,47.06878900651672
119,46.98596797714837
120,47.08896323757009
121,47.12252819874864
122,47.4717723326114
123,46.85086434186616
124,47.510731185830025
125,46.889839260633124
126,47.08111936097914
127,47.198651349402866
128,46.69044121700894
129,48.03416619105326
130,46.54310351334968
131,48.072039860530424
132,47.13865944892285
133,46.66889580312225
134,47.41990465475182
135,46.53557293835598
136,47.148034049308606
137,47.28693725437726
138,47.30927999567348
139,47.3914816412656
140,47.12233450480744
141,47.011559466764524
142,47.477467146303425
143,47.110972298480675
144,47.17112176991457
145,46.98215608883301
146,47.0327470640997
147,47.05002467442965
148,47.132268788589656
149,46.963726642201856
150,46.98152495930101
151,47.089681964233
152,47.37396658757012
153,46.77874835521023
154,46.74921269155203
155,47.224651956484976
156,46.80606861439754
157,46.8701793658318
158,47.049570287856326
159,46.98310877350863
160,46.90712980326845
161,47.435590812237514
162,47.20808153514438
163,47.0207438545551
164,46.49380623329971
165,47.463001228136626
166,47.31277942868383
167,47.089113817505066
168,46.83463256521358
169,47.5906976254826
170,47.17797477525443
171,46.79594279292302
172,47.30725585973897
173,47.2463617268716
174,47.03322616459296
175,46.566821732168876
176,47.1189371927739
177,47.077140938262446
178,46.9338475876467
179,47.080759973939436
180,47.069937114693765
181,46.98198707581477
182,21807918.12400975
183,47.00639558263478
184,46.8754218985124
185,47.189723546528626
186,7649177.899519736
187,47.26908074927425
188,981293223.6304779
189,47.14801987863913
190,905989220.8772662
191,47.092961369077486
192,47.18751345157153
193,46.989885887369816
194,46.853994874595266
195,47.08393807390449
196,46.839396049939396
197,47.09224084391877
198,47.12851864020712
199,47.18881485466881
200,47.12235692296533
201,47.515244858041356
202,410754108.3847897
203,46.85107674163684
204,46.44946554932944
205,47.03465120796023
206,47.30136676195367
207,46.74307778346608
208,47.03632480222477
209,47.16303783671195
210,47.10651473019737
211,47.244645610179575
212,47.072506353996445
213,46.46617962004073
214,46.62513801973209
215,48.27088520509422
216,46.81225524773675
217,47.19551974586365
218,47.34936206122883
219,47.00765918102237
220,47.35296772746334
221,47.217804898010044
222,47.2250058268301
223,47.31420459902342
224,47.05295809939392
225,47.06094081553616
226,47.06504211522704
227,47.00669368670048
228,47.118937192774354
229,46.94379415713869
230,47.082803148697494
231,47.10939819240062
232,47.19745138017116
233,47.113330070987345
234,29855692.069853514
235,47.05377734781406
236,46.896187102710826
237,47.267262396390144
238,9185631.401484303
239,47.08208603755484
240,354705565.36865044
241,47.068427713258025
242,416339316.1365324
243,47.09296136907773
244,47.24036546820625
245,46.881060374972265
246,46.90007779273618
247,47.634228185935854
248,46.97267856083533
249,47.169114107119256
250,46.975954463912736
251,46.99064711067032
252,46.97781384207027
253,47.01713477790558
254,46.96545877773041
255,46.828470356138
256,46.87108051350034
257,47.40058515830297
258,109930839.61559919
259,46.49165369744131
260,47.29038593143263
