,Order,Mesh Size,Error,Alpha,Bonus Int,Type
0,1,1.0,0.00188941317699345,5,0,hdg
1,1,0.9540954763499939,0.00188941317699345,5,0,hdg
2,1,0.9102981779915219,0.00188941317699345,5,0,hdg
3,1,0.8685113737513527,0.00188941317699345,5,0,hdg
4,1,0.8286427728546845,0.00188941317699345,5,0,hdg
5,1,0.79060432109077,0.000849031060219045,5,0,hdg
6,1,0.7543120063354617,0.0008490310602188813,5,0,hdg
7,1,0.719685673001152,0.000849031060222628,5,0,hdg
8,1,0.6866488450043001,0.0018894131770031209,5,0,hdg
9,1,0.655128556859551,0.000524005350264123,5,0,hdg
10,1,0.6250551925273973,0.0005240053502641867,5,0,hdg
11,1,0.5963623316594643,0.0005240053502642772,5,0,hdg
12,1,0.5689866029018297,0.0005240053502641948,5,0,hdg
13,1,0.5428675439323861,0.0005240053502641948,5,0,hdg
14,1,0.5179474679231212,0.0005240053502641867,5,0,hdg
15,1,0.4941713361323835,0.0005240053502641948,5,0,hdg
16,1,0.4714866363457394,0.0007895908211379367,5,0,hdg
17,1,0.4498432668969446,0.0003951503027678704,5,0,hdg
18,1,0.42919342601287785,0.00042864003139137934,5,0,hdg
19,1,0.40949150623804254,0.0003954293232809565,5,0,hdg
20,1,0.39069399370546176,0.0002678997132071637,5,0,hdg
21,1,0.37275937203149406,0.0003079119508676692,5,0,hdg
22,1,0.3556480306223129,0.00030822420212519365,5,0,hdg
23,1,0.3393221771895329,0.00026731306885855995,5,0,hdg
24,1,0.3237457542817644,0.0002729176861766086,5,0,hdg
25,1,0.3088843596477481,0.0002727372917215307,5,0,hdg
26,1,0.2947051702551811,0.00027376727313493135,5,0,hdg
27,1,0.28117686979742307,0.00019615496728976766,5,0,hdg
28,1,0.2682695795279726,0.00018769768604613767,5,0,hdg
29,1,0.2559547922699536,0.00017627470336753517,5,0,hdg
30,1,0.24420530945486515,0.00016370995153637614,5,0,hdg
31,1,0.23299518105153724,0.00016373715351212565,5,0,hdg
32,1,0.2222996482526195,0.00015569494597552364,5,0,hdg
