,A
0,84203778676.29431
1,7.2096896491144165
2,84203778676.29431
3,7.2096896491144165
4,14567518185.770714
5,1198.023640347038
6,144945343.0387693
7,6.449939207171582
8,14580295374.859509
9,144947028.23742688
10,6.449939207167384
11,1198.023640347037
12,7.054418012403882
13,1198.0049314005737
14,1198.0049312816768
15,7.157239765225901
16,319471.49473831186
17,6.449939207171582
18,7.054418012403862
19,1198.0049314005712
20,1198.0049312816764
21,7.157239765225915
22,319471.49734251515
23,6.4499392071715755
24,7.054418012403842
25,1198.004931400573
26,1198.004931281676
27,7.157239765225928
28,76300257643.16327
29,144944259.45206326
30,7.939452917698192
31,448231.73546601366
32,561.3161076214776
33,395.105140169075
34,127628.03121231847
35,7.526041636543805
36,6.798148141259345
37,6.632276358956237
38,7.066528759774742
39,26861.447429115913
40,7.004165856697195
41,7.181730495196489
42,7.087758664035443
43,7.029313802251314
44,7.071362174958267
45,6.908467635695142
46,8786.267403041023
47,6.79098028213904
48,216.01196742778268
49,277.1778248192975
50,1909.2701670175372
51,510.94189588651835
52,6.9521836510753605
53,7.139910855171005
54,6.951101145466527
55,6.71313064370066
56,6.7499438622469725
57,7198.593062089856
58,6.345904082025836
59,6.7734482374689025
60,6.917436356244651
61,6.2850821373373265
62,6.866144459371467
63,6.405107541300451
64,7.071362174958156
65,6.76932330006844
66,13287.370354646637
67,6.953388248409793
68,263.2942638561522
69,315.57941525764113
70,2853.685198799094
71,510.9418958865177
72,7.155432837297534
73,6.922851850817973
74,6.594100544843711
75,6.681176962369166
76,6.761441519817828
77,7.331609682334914
78,7.425414493959739
79,8607.526399137347
80,6.381553836444104
81,7.229815349290435
82,6.963159588105596
83,6.650519515827072
84,7.071362174958201
85,7.253350832658128
86,26838.248456045796
87,7.147547592160382
88,381.82521480332815
89,313.10213325916106
90,9215.01015566113
91,510.9418958865179
92,7.716569531295125
93,7.366511618910046
94,6.95763914532877
95,6.877898461730594
96,7.408637037678911
97,6.756294813041723
98,7.173565552730336
99,4848.780607059365
100,6.4758537035115715
101,7.178124871216534
102,6.96304334794203
103,7.070179862416346
104,7.19636463130634
105,8.403917669285333
106,7.052492695106851
107,6.952081959980921
108,7.07986331842101
109,7.012688110954895
110,7.059931873000747
111,6.997460206766865
112,288.08576920015634
113,234.15497307573332
114,223.11371516987376
115,1307.2973825866018
116,288.0857692365086
117,7.059790782947655
118,7.10546113678825
119,6.9501047581339845
120,7.131275050386044
121,7.1402800350175735
122,7.513413474236939
123,626.3806957901163
124,16600.91352046467
125,6.856095064871713
126,7.104587979982493
127,7.177225247912029
128,6.648943050642539
129,7177.332806219994
130,6.526488078278477
131,8.034040766229097
132,7.1652654595152825
133,6.710361641812677
134,7.396494509283653
135,6.552065658750023
136,7.121371489107462
137,7.297365991757102
138,7.29866304509513
139,7.414709846470791
140,7.079863318421236
141,6.973858234139536
142,7.444586015779975
143,7.136513384098515
144,2962.081081492067
145,7.010901782021402
146,224.90682698888975
147,206.73984883394823
148,1362.6942698974135
149,172.189666363775
150,1106.1839132428531
151,288.0857692365086
152,7.407847367930341
153,6.8195616140439554
154,6.728761035576797
155,7.259509449708883
156,6.781985888001637
157,6.839658800041182
158,7.009312312186369
159,7.021042133631472
160,6.946741332433943
161,7.478160000955171
162,7.160468768648093
163,868.0484634386087
164,6.484610652614924
165,7.425906882397503
166,7.349588490379698
167,7.059692305418614
168,6.853431636705706
169,7.558875389980266
170,7.1648743188634985
171,6.826290212177794
172,7.319970700712403
173,7.26634144092063
174,7.0080644790606055
175,6.577476370223722
176,7.084973286101691
177,7.04769492955776
178,6.903071201396804
179,7.111059967192645
180,7.040479505759944
181,7.011134134542013
182,516.9891509455354
183,7.026576378442861
184,96.49285020255665
185,145.9824439278901
186,183.5054519880229
187,167.9032645501476
188,443.13223745041284
189,140.90155859442595
190,530.7841854774497
191,186.64491102726214
192,7.215775675823536
193,7.019795144841059
194,6.8283547823135535
195,7.113088338796035
196,6.81206575536986
197,7.126102753803911
198,7.139046069717507
199,7.195837236511134
200,7.113646613690547
201,7.54804972624536
202,561.0218558942556
203,6.826051373872305
204,6.44126843345511
205,7.048945166736135
206,7.289667429972788
207,6.710275061207794
208,7.005291181704713
209,7.1946128813484505
210,7.117382530991348
211,7.2382908025305275
212,7.0503702579229435
213,6.455749179993487
214,6.6557694862197
215,8.241683907655323
216,6.83998203683122
217,7.206884020710067
218,7.350275630360207
219,7.030018661079449
220,7.347135346428466
221,7.19572954062472
222,7.1951413266725215
223,7.311206639807391
224,7.062184169471353
225,7.056718396515478
226,7.029259125746808
227,7.041984533847081
228,7.0849732861014925
229,6.912934681268997
230,7.053453791734047
231,7.139311352015843
232,7.169001768484961
233,7.141606962198745
234,531.242777620323
235,7.0763300714268205
236,99.86262131579701
237,172.1787266047153
238,209.93994091871542
239,129.60210609395196
240,540.1968082557966
241,127.83902216170699
242,327.74500930458714
243,186.64491102726197
244,7.268262069661194
245,6.912096578205779
246,6.876605801274438
247,7.659830994256886
248,6.958652068340422
249,7.198021921698437
250,6.95537380549912
251,6.962516920614933
252,6.954050136048047
253,7.043142203139139
254,6.933409441070177
255,6.857537766573305
256,6.902721768821255
257,7.435902364452295
258,425.06114632062247
259,6.4830236491109225
260,7.252799969409233
261,7.120534504398031
262,7.157260171489653
263,7.0556471032056844
264,7.0795264946596514
265,7.049197010849253
266,7.128637652322246
267,6.874487961278049
268,7.389797305040284
269,7.241453950007594
270,7.099566356380414
271,7.316169800582211
272,7.152559679043743
273,6.662434562799915
274,7.16168441591136
275,7.55921070185407
276,6.7810045534472145
277,7.171787354918063
278,6.797293813358163
279,7.25154541091139
280,6.78530014882517
281,7.634993491665011
282,6.801418309629382
283,6.889079253329794
284,6.925741376540204
285,7.157484987554419
286,7.088383794324937
287,6.929839752940914
288,7.080903687762083
289,7.131065440802129
290,7.301399883486458
291,7.126932947087187
292,7.314904560474409
293,7.211229251755697
294,292.3372558835743
295,7.068092079386323
296,96.13761968002859
297,78.72224914650815
298,147.4698306931295
299,80.64614362860272
300,105.83224824638167
301,100.72878001127603
302,116.60046906556157
303,101.40294020166647
304,169.4511200125847
305,132.62544875258956
306,7.26514179623646
307,7.224038682701718
308,6.9312172402084755
309,7.4339061935855595
310,7.11387694888726
311,7.355095618317742
312,7.208947079453199
313,7.161310941405962
314,7.009439723198684
315,6.976421726276908
316,6.922800011921755
317,7.003790987817958
318,6.923409519043204
319,6.972556740144036
320,6.9156097802783165
321,6.8366222002778
322,6.898025033655371
323,7.419068036215602
324,234.6685774465205
325,6.467092427845342
326,7.252411618221666
327,6.97932000492515
328,7.1494993074813795
329,7.049844462295191
330,7.082604044854634
331,6.9581261227840265
332,7.1551195471552616
333,6.867010040770115
334,7.155684274466935
335,7.469220695890604
336,7.243321321144309
337,7.184441316116173
338,7.260098164705878
339,7.506309379235045
340,7.030881863875482
341,6.953221527328447
342,6.753812250029325
343,7.058746199675264
344,6.852596557811147
345,6.914421378693428
346,6.660205115090054
347,7.020956697832148
348,7.121492346640369
349,7.124014124170101
350,7.052735524517822
351,7.406478475866292
352,6.901162894270186
353,6.911471208385857
354,7.573884571928636
355,7.163838605572515
356,7.342600514663696
357,7.1728903836262035
358,7.130246008402916
359,6.818591598105456
360,7.020048632233159
361,7.154118752782569
362,6.975240476583709
363,7.147332599121308
364,7.2145976205334215
365,7.031281064829726
366,7.04759464161236
367,7.244330975477723
368,6.96587618276202
369,7.044757004361906
370,7.371763412584551
371,7.2954701372409545
372,7.07446800835563
373,7.088248258368019
374,7.090821762424486
375,6.886683409489874
376,6.978457670129362
377,7.091453400769871
378,7.044620611123618
379,7.040603952627043
380,7.163978570310561
381,7.049956271889821
382,7.319427564997694
383,7.108919388024985
384,148.59899402124228
385,7.104296891138111
386,68.74722810751773
387,59.96123884770407
388,75.93635176897419
389,71.18458946667528
390,60.19321688598262
391,82.27773267738431
392,81.1147389068961
393,84.46610976126127
394,99.87594123976746
395,76.15265915164618
396,107.9104054646475
397,100.75760252715108
398,7.292218466102765
399,7.035560741400401
400,6.8901067506382105
401,7.051858405707149
402,6.94641727112012
403,7.22427564198462
404,7.052993704626742
405,7.378570038685126
406,7.132764905909658
407,7.241651706778562
408,7.097383626492616
409,6.926144540000012
410,6.85256644368373
411,6.963841314462417
412,7.012351117525067
413,7.081083032252734
414,7.043560569087896
415,7.052161214715458
416,6.990677370505624
417,6.838923878308108
418,6.890052213167786
419,7.408750216228692
420,120.48565081590016
421,6.472134482654345
422,7.212471530443589
423,6.99733035663191
424,7.162203936600471
425,7.033633874265366
426,7.019618626238831
427,7.389198390075103
428,6.898330002479247
429,6.78979162719978
430,7.19562101138275
431,7.111684905707074
432,7.37153479141434
433,7.237596331288808
434,7.219779151732151
435,7.16328713404301
436,7.086862176080438
437,7.094747752458084
438,7.198766950331723
439,7.08198314950223
440,6.7413431729473965
441,7.10387560143927
442,6.956059277473688
443,7.101531864727791
444,6.994052868480674
445,7.408133132262469
446,6.896141470735896
447,6.77725349643096
448,7.255286309789492
449,7.093632408517315
450,7.37978079151927
451,7.263449812277491
452,6.632451757262022
453,7.233645529383892
454,6.966510829470323
455,6.999247847790414
456,6.962620420604659
457,7.0348650670394175
458,7.407688801431968
459,7.003467499646041
460,7.178765683369324
461,7.023757834548433
462,7.274781911876477
463,6.871501598029321
464,7.002182344863316
465,7.530790610213345
466,6.592310553952732
467,7.015232903896436
468,6.995879747730494
469,6.902320281494883
470,7.013480817783314
471,6.79482544110469
472,7.086695565508496
473,7.136392271485901
474,7.18733817838668
475,7.1083600038227726
476,7.045654996694958
477,6.904713561719541
478,7.2699907018805705
479,7.375137397935143
480,6.897418524502483
481,6.894940596911102
482,7.052346471014152
483,7.089616547928435
484,6.801465023492492
485,6.9645777591296465
486,7.300026770082907
487,7.635311986510107
488,7.092651272023998
489,7.014418195520828
490,6.873011083797282
491,7.067218324676212
492,6.892978507087958
493,6.9666121631032345
494,6.927508324241371
495,6.956543261937528
496,6.955986282795074
497,6.938329887149888
498,7.1123743497650285
499,6.860219692222249
500,80.46038864636938
501,63.93180546896381
502,63.53095882437428
503,63.81406631979422
504,66.08261005954297
505,64.96698422973391
506,77.44164908332199
507,71.49765300669236
508,78.59099552385703
509,75.98106769601978
510,66.03260408513755
511,55.744629552142555
512,80.4603746827706
513,7.074102806489282
514,7.070936354300833
515,7.113615820946216
516,7.081680010846188
517,7.095485535602604
518,6.963875246319345
519,6.978269604534742
520,6.9387523858553735
521,6.90759930392794
522,7.095011538071477
523,6.835521389139361
524,7.11835724494467
525,7.121543897057322
526,7.141556354293781
527,7.069818424090224
528,7.147271734747014
529,7.098063448474606
530,7.133513917848405
531,7.1632993770094044
532,7.100640421515916
533,7.132349119206411
534,7.544398940272705
535,52.60469665292285
536,292.75287942047976
537,6.82911534441671
538,7.058175174563169
539,7.22550067109362
540,6.910008812441079
541,6.864902578715403
542,7.087890453956673
543,6.9228419480685375
544,6.744936470490371
545,7.092352635245079
546,6.46754202392902
547,7.235765759628612
548,6.879682423644487
549,7.400860849801639
550,173.11155566499787
551,7.3111740365410665
552,7.186615399237413
553,7.3478302921322936
554,7.059740796758689
555,6.955054179549499
556,7.370240389539014
557,6.932806042534237
558,6.464460602382247
559,6.874749493724275
560,6.996731708875654
561,6.755178511852848
562,7.138083655772164
563,8.280602363630488
564,7.358255570029776
565,6.946101474192087
566,7.347594204689035
567,6.983107911366062
568,7.41397537728474
569,7.102049655912046
570,6.955904264301161
571,7.008125875041676
572,7.205831811262355
573,7.265735964845773
574,7.005951893766501
575,7.25637069088127
576,7.302300595379943
577,7.22330078505593
578,6.9667788492843705
579,6.976489385268071
580,6.855581288233129
581,7.372848055453939
582,7.215734692769306
583,7.273878210588064
584,6.990506992498892
585,6.786751258012856
586,6.843435307339961
587,7.137611972525034
588,7.388553837735943
589,7.037933486002238
590,7.080064861098258
591,6.815487607749489
592,7.0312211148547
593,6.8379604433876775
594,7.401799309078802
595,7.182418390282512
596,6.841749625717101
597,6.922898810965826
598,7.0673238195967
599,6.76488141996991
600,6.86770784708801
601,6.938159540804525
602,7.182764920547443
603,6.847659265114747
604,6.844829346739699
605,7.25010411858109
606,7.21558000415256
607,6.8748593518063315
608,7.451256406430534
609,7.196412376369544
610,6.841939970799087
611,7.028003180301832
612,6.6650998110167565
613,7.416506164891512
614,7.479356705310605
615,7.053460687907412
616,7.094074836165403
617,7.008670631494631
618,6.854588979621806
619,7.03986376104109
620,6.873748269982061
621,6.9342072934205525
622,6.90263295334519
623,6.939013682862384
624,6.882047485683481
625,6.921333286087401
626,6.880138954777677
627,6.865227786430605
628,7.054928076954887
629,6.810629882579407
630,66.73180062818707
631,54.41946500393189
632,53.36560007481945
633,45.8843758692656
634,49.776605686981114
635,42.542447097777305
636,52.27610387180882
637,41.220406778715486
638,55.09149788705346
639,43.640616016408856
640,58.103385030016135
641,45.383968851949774
642,52.95461405632224
643,36.79959558054917
644,66.73178027996137
645,7.058939012983443
646,6.994719453196515
647,7.102364950864618
648,7.064548483447037
649,7.072390511410529
650,7.091398829345889
651,7.065690283044376
652,7.069221088048128
653,7.043483497464641
654,7.025307644158726
655,6.99052734615805
656,7.122277937891972
657,6.864808562849973
658,7.116924596522176
659,7.124080529924635
660,7.183533639467169
661,7.06350680963361
662,7.120800858474662
663,7.105559072076041
664,7.0659906107571135
665,7.085404901710964
666,7.014141898749273
667,7.074334210329612
668,7.051677038250647
669,7.081621765237406
670,7.526914734156503
671,42.07333684442225
672,177.52659010963635
673,6.827601613630412
674,7.043754504357546
675,7.204089106568202
676,6.848857451211913
677,6.842849607375708
678,7.025121890314173
679,6.943559066606401
680,6.766423041391377
681,6.906698800003462
682,6.701228773957576
683,7.024850799678158
684,6.462901241018021
685,7.061475844406038
686,6.917510701330897
687,7.144801060723775
688,108.46906850245897
689,7.071772735375028
690,7.070723501704974
691,7.1485482035951255
692,7.095855279277242
693,7.345480105417018
694,7.028019363668294
695,7.112443521032907
696,7.141271331580603
697,7.098789387852154
698,6.4527540505704835
699,7.078130174015801
700,6.9715292652374465
701,7.039344277656251
702,7.073799595203814
703,6.716481565707873
704,7.113781356524935
705,8.288072978500717
706,7.051490682016695
707,7.0739239157709495
708,7.082928016640395
709,7.069549980443054
710,7.068902371951053
711,6.984973635989856
712,7.164298507954418
713,7.035445567300995
714,6.9675000160464275
715,6.921603417577268
716,7.184594314994159
717,7.265215530428815
718,6.973905720598614
719,7.211009789545519
720,7.306816970555475
721,7.243703474759799
722,7.115920288541193
723,6.889298129907722
724,7.396972119522408
725,7.025112054298238
726,7.305247503042773
727,6.972055694575839
728,6.754336044708882
729,6.801279111053536
730,6.755172406968057
731,6.7102062815589685
732,6.833419826948919
733,6.851251601303183
734,7.221922990236725
735,7.070352129451449
736,7.415649384592653
737,6.853610806682696
738,6.855440832385199
739,7.369806414769668
740,6.928858039715505
741,7.162194153393509
742,7.151926590365948
743,6.845078331526514
